,reviews
1006,"Ruined the start of my honeymoon.Our flight to dubai was late by 30 minutes, meaning we missed our connecting flight to Mauritius. Had to wait in dubai airport for 7 hours and we were only given meal vouchers as compensation - no money off, no upgrades, not even an apology. We've lost around £300 on our holiday, money which I'm currently trying to claim back but will not be holding my breath for. I will never be flying with Emirates again, their customer service is non existent and they treat people completely different to the likes or British Airways. No class at all."
1007,Emirates is an amazing airline! Always fly emirates when I go Middle East or further. Stop off in Dubai is always good! Brilliant airport. The service from start to finish with emirates is always good! Extremely child friendly airline! They look after you and make sure you have everything! Will always try and fly emirates!!
1008,"The best in-flight-entertainment and good quality food on board. Very helpful cabin crew, majority of the flights on time. Good connections in Dubai airport. The customer service on the phone could be better and more professional."
1009,No one in customer service knows what they are doing and fob you off with prepared email letters. World's greatest airline my backside.
1010,"Hi, first off excuse my english I'm not a native. I'm a gold member emirates, and just want to share my experience, I do fly business/ or first with the company, I'll pass on the service which was really good in business at first but not anymore, and the outdated cabins if you compare to lot of airlines now.First still ok, if you see yourself as Cendrillon.But the mainly issue is when you try to book a ticket with miles, for example today I was trying to purchase a flight from BKK to HK 2 ways, skywards price was 40 000 miles,  i had 39 300 miles so I had to purchase 2000 miles more, then as soon as they updated my balance, the same flight was 47 500 miles, I understand that prices may varie, but normally 47 500 miles is for flex fare, but Saver fare in currency still available.It is not the first time that this happen to me, and it looks (to me) that the settings/cookies of their website aren't really honest.I called their callcenter, and the lady keep telling me that there is no Saver fare available for this flight, and that was the reason for the increase of prices/miles, Even I had in front of me the Saver fare available online which I purchased when I ended the call. Another story, I changed a booking while i was in China for an HK flight with my wife, emirates charged me the amount on my credit card, I got a confirmation. all was fine.The next day after travelling all day, we arrived at HK airport, check-in, where the ground staff asked me to pay again because they didn't get my payment, so I had to pay 2 times, but the worst in this is that they kept us 2 hours standing at their desk, after a 8 hours trip to get another 3 hours flight. So we didn't have the time to rest at the lounge, then the business Class with LCD that doesn't work and not seats available to change, and other issues that i don't recall, but stuff that you would like to enjoy as you just paid that much for your flight.I sent email to customer.affairs @ emirates.com and never got any replies.I called their center in Dubai, and had someone even not telling me that they was sorry, but "" it is our system sir, sometimes it happens"" WDFWell Emirates, sometimes you are loosing customer""all that said, just don't go for their Boolshit membership, for a little reward at the end, you got better companies than this and treat you way better than this.They do not deserve your money."
1011,"In January 2017 I booked two economy flights on line from London to Cape Town for my wife and I and we hoped to travel in November 2017. Sadly, I was diagnosed with cancer recently, and it was recommended that I start chemotherapy treatment immediately. This meant that it was not recommended that I travel. I communicated with Emirates on 3 occasions - two on the phone and once on twitter. They have refused to waive their cancellation fee of £200 per ticket. I think they are heartless and have no human compassion. I have had to cancel accommodation, car rental, car parking and other flights - and on every occasion all have offered full refunds without any cancellation fee.I've written to the owner of the airline and its CEO and not had a response to date. I eventually received a refund after several months."
1012,"Emirates flight Economy Very good service with delicious food and access to latest movies, listening to latest music I watched movies such as Baywatch. On the way going I watched Baywatch and on the way back I watched Diary of a Wimpy kid full movie In HD with access to free headphones and good seating and space. The food was great with good service and the air hostesses were really nice and they provided us with good food whenever we wanted it and had access to a wide range of drinks whenever you feel like it. Overall it was a wonderful flight with great service and access to a wide range of meals and choices."
1013,Flew with Emirates to South Africa (via Dubai) and service was excellent. I'm 6'3'' and leg room was pretty good. In flight entertainment was excellent. And staff really polite at the desks and on the flight.
1014,"The continuing story from the ""Impolite and bad service""I waited for a report back from the customer support department of the Emirates head office but after a few days I didnt recieve any reply.I thought that it might be the problem with mail itself so I went to Facebook and explain the problem but again, the communication slowly started to face. The Emirates Airline seems to have the issue of ignoring questions and opinions from costumers and passengers. By the way, we can't directly talk to the customer support department from the website, FAX, email but only on phone but the phone is only a voice announcement, therefore, we as a costumers won't have a proper coversation with them. In additional, there was a news annouced in July 2017 about Emirates Airlines flight attendane pouring champagne leftover by the customer into the bottle. Emirates Airline says that they will have an investigate the issue. However, after the announcement (the end of September 2017) no results or comment came from the Emirates Airline by searching.If you use Emirates Airlines, please use travel insurance with great guarantee, that won't be a troublesome. Also, if you have any requests and opinions for the company's service then there will be no customer support department because they will completely ignore your comments except for Facebook."
1015,"vegetarian food should be easy to do, give me a salad and simple pasta dish and I'll be happy. The options online were Asian vegetarian, vegan or raw vegetables- surely there sure be a simple vegetarian/lacto ovo option which other airlines seem to be on board with. I ordered the Asian vegetarian- I was unbelievably disappointed with the quality of food. What I got was two meals (lunch and dinner) which were exactly the same because they couldn't be bothered to bring two different meals onto the plane. The food did not taste of anything and the dessert was foul- surely they have people tasting the food before serving it to the mass public?! We also had air hostesses talking to each other over our heads waking me up whilst I was asleep and also arguing with each other later on regarding the meals. It was quite frankly embarrassing and so unprofessional - I will not be flying with them again"
1016,"Flew to Dubai a couple of times with them, all went smoothly.  They have the most attractive stewardesses for sure."
1017,"Non existent customer service. They ignore emails and tell you over the phone that they will respond in 30 days (yep, a whole month!). I have completely given up now, it has been 6 months. I would say in flight service is fine but once you are off the plane, there is zero interest in resolving issues (like lost luggage which is pretty basic in their industry). I now stick to Turkish Airlines, they have been wonderful."
1018,"We flew from Birmingham to Thailand stopping at Dubai both ways for 2 and 1 night , Hong Kong 3 nights and Thailand 2 weeks . I had to pay for medical form and a letter from drs to get assisted help on and off plane which cost me about £50 , the airlines assured me they would help as I was travelling with someone unwell , this wasn't done on 4 out of 5 flights We had a baby and cases left on floor next to us during whole landing procedure , photos as evidence They booked me a vegan meal for 5 flights I had ordered normal for me vegetarian for daughter We had a lady next to us with a baby with a dirty nappy that stunk for 3 hours and cabin crew wouldn't talk to her just kept coming and spraying around us ,she took over all my leg room and the chap on other side to her , he was complaining, but we were both told no other seats to move too , her child was restless all flight kept kicking me, pulling my dress, standing on my feet and she didn't seem to speak English , so that didn't help situation, worst flight Ive ever been on We had a gang of thieves on Dubai to Hong Kong flight and police came on board which caused my daughter to get really upset she had mild mental health issues , a long wait checking everyone out for stealing , no help was given after police left , despite asking for assistance I had booked and paid for No one from the booking flights to departing from Bangkok to Dubai told us they were keeping our cases , we arrived in Dubai not knowing they had put our cases in hold we had nothing, no clothes , toiletries , some tabs were in case , hair brushes etc, it took them 3 1/2 hours to get our cases back , which made us miss our meal at hotel I got very sick about 10 hours after eating chicken on plane and ended up in hospital for a day and had to come home 3 days later than our booked flight , I had eaten nothing else , I suspect it was on plane as we arrived 11.30 pm and had missed half board meal so we went to sleep and Woke up early hours being very sickThey are being very unhelpful , all they are saying is we are sorry you have had to complain about flights , completely ignored all things I've asked about I'm in process of contacting CAA for help , not only were these flights terrible and I haven't mentioned everything but the handling has been dreadful , would not recommend emirates . We went on 3 internal Thai £20/£50 cheap flights all on time and no prbs , not impressed 1 bit with emirates , their last reply said we are not commenting further , I've had no answers to anything I asked , or why no assistance that was all arranged , disgusting behaviour , anyone with disabilities beware if flying with emiratesthe customer care team dont give a dam once they have your money,  dont reply to questions, lie and make up excuses, dont expect any help once you have flewn and have problems, ignorant customer service team, you should be ashamed of yourselves"
1019,GREAT EXPERIENCE....GREAT SERVICE AND SUPPORTING STAFF...GREAT FOOD...GREAT PRICE...LOOKING LIKE A LOVELY FLYING BIRD..........THANKS YOUR GREAT SERVICE...
1020,"Can't supply a gf meal for my child who is a coeliac who eats solids because they can't put it in their system, if asked if we could pay for an extra meal and was told no. Booked 5 months in advance and it was me following up about seat placement when we found out they had not confirmed mine or my daughters gf meal, When speaking to customer service was given different information about what we can and can't do in bringing our own food onboard and they blame everyone else but themselves. Can't believe they have such rude people in customer service."
1021,"My 5-year old son had a slight fever, and the guy who was in charge of the flight kicked us out of the flight and told us to disappear. This included my wife who was four months pregnant. She was made to stand up in a queue for over 3 hours so we can get a ticket for the next flight which was the following day. If you're a dark-skinned Asian you will get rubbish treatment by these people. Cause they're racist and think they're above you. When I asked the guy whats next, He said now you're kicked out of the plane, and It's up to you to find an another flight so get lost. When we got to the flight the following day, we were served bad meals. I got food poisoning and I was throwing up the entire flight back to Oslo. The staff doesn't give a damn, and if you look closely, you will see the staff is multicultural, and you know they have their preferences. Chinese looking staff is always assisting, and chit-chatting to Chinese looking passengers and ignore everyone else. So on and so. You get the idea. In my 34-year life Emirates is the most disgusting and racist airlines I ever flew. The ground staff are the worst. Horrible and uncivilised. Never again in my life, I will fly this airline."
1022,"I boarded the flight EK349 from Singapore to Srilanka. When I landed in srilanka, I found that both mine and my fathers  bag was broken into. I made an official complaint regarding this to the Sri Lankan Baggage services and have dealt with officers Miss Dilanthi Janashanka and Mr Ravi Valivita. Their customer service has been suboptimal and disappointing.Looking at the bags, My bag was a samsonite bag that cost me AUD 400. The zip on this bag was broken and ripped off from the bag so no longer able to close. The second picture shows the padlock that was on my fathers bag which was manipulated so can no longer fit key into it. As far as I am concerned, there are two issues. 1) Broken bag which the Sri lankan Emirates office is refusing to give me compensation 2) Issues with security When I buy tickets from Emirates, I expect my bags and goods to be looked after from the time I give the bags into the times I collect them. In this period, my bag was broken into. As far as I am concerned,anyone could have access to contents in my bag and FURTHER MORE, COULD HAVE EASILY PUT ANY DANGEROUS MATERIALS IN MY BAG. This is a criminal act which Miss Dilanthi Janashanka and Mr Ravi Valivita completely denied and told me that its likely that the bag was broken on the belt. I have been contacting MissDilanthi Janashanka ( 94112258933) via phone and emails on a daily basis regarding this and nothing has been done about this. They initially agreed to fix my bag but instead put two cheap ""hush puppies brand"" zips on it, which is unexpectable. I expected Emirates to replace the bag as it was or give me compensation for the amount I spent for the bag. They have completely refused to do this and I would like this looked intoI have not seen my parents in over a year and I have come to sri lanka to spend time with them. Instead of relaxing, I have been stressed with this situation and now with no luggage bag to take my belongings back with. I trusted Emirates with my bag and my goods and to be honest, I expected better customer service. The issue of the bag has not been resolved and the Security issue (with regards to investigate who is responsible for the bag being broken into) have not been dealt with and these are both very serious issues. I am very annoyed, disappointed and upset with this airline and would not be recommending this to anyone. The stress and the ordeal I have been through is unspeakable."
1023,My name is Mrs Amie Coleh Jammeh I have been an faithful Emirates customer for years now and I decided to go for Hajj this year. Hajj being what is on my way backI was sick and very tired every Muslim who comes back from that Holy voyage suffer from fatigue cough and sneez. I took Emirates from Jeddah to Dubai then had to continue my journey to the US. One of the flight attendant came to me( I guess she saw me looking miserable) ask me if I was ok I told her I was not feeling Well she left for a while and came back to me to tell me I can't travel I told her no I just want to go home after another while I saw myself surrounded with 4 people from Emirates then the police as if I was a criminal or as if I had a contagious disease. I have never been embarrassed in my life  like that day . They told me we just want a Doctor to check you and see if you can travel I guess none of those flight attendants were not Mullins because if they were they would know what the person feels or look like after that Holy journey. After being checked  by a doctor who gave me nothing but 2 Paracetamol and some inhalation. After all that I knew the plane already left with my hand luggage with all my medication (I am diabetic) .i was really unhappy now I have to book another flight which is going to be the next day; they took me  to a Hotel after I insisted That I can't spend the night on those seats and they told  me the upgrade I made on my return ticket is no longer valid . Fortunately for me they end up accepting that upgrade and gave  me an hotel voucher. I am complaining for the segregation I witnessed on board and they never delivered my holy ZamZam water..  the incident happened in fightEK 234. Looking forward to hear from you.Regards
1024,"I have flown with them twice , the food was awful and the staff just don't bother if your traveling Economy, I complained after waiting 2 hours for my dinner and the steward just ignored me ."
1025,"I'm frequent flyer with Emirates and I must say their service is impeccable, they're very generous with the 30kg baggage allowance, generous rewards including airmiles, the tickets are very fairly priced and the service on board is excellent.........lots of leg space and fantastic inflight experience. Well done and keep up the good work."
1026,"Airline is great, website less so.Finding it hard to make complex bookings only, often getting many error messages."
1027,Pathetic Airline Doesn't care customers and try to rip you off. I  am frequent traveller with Emirates Airline and bought expensive ticket online from Emirates Airline. I was stuck in traffic and was late just 5 minutes for check-in (55 minutes before takeoff time). They not only refused my this leg from London to Dubai but also cancelled subsequent 3 flights because I missed first flight. I was sold new ticket and the change was just the first leg. They made me to pay £932 more for my own seats which I paid already.
1028,Queuing system gives privilege to certain card holders at the cost of ordinary people. I am annoyed sitting in your office being treated like...
1029,"One star as I cannot put a negative star rating. I bought my ticket to fly to Zambia, traveling on a Convention 51 Travel Document. Ensured I did not need a visa to travel via Zambian High Commission and Dubai Embassy as per conditions of travel. Guess what come day of travel refused boarding by Emirates staff at Manchester Airport because I do not have a visa to travel to Zambia. Which visa? Are they now the immigration authority in Zambia? Will not let me fly despite contrary evidence still want visa! Oh they also want me to pay extra for their ignorance and arrogance to catch another flight at a date to be determined by them and to return on my original return date. Am I a fool?"
1030,Very bad customer service. They will just put you on hold and the people who are working at the counter are very rude. If you have any small problem no one will help add to that the bad and rude way of treating.
1031,"If I could give them a 0 I would. This company has the worst ever compassion or customer services. They are abusive, rude and very hurtful. I cancelled my tickets with them and will not be flying with this company. 5 years ago they were a lovely company but now they do not care. Do not let big companies like this get away with hurting and belittling people. There words were ""WE DO NOT CARE"" and the person was yelling down the phone. Can someone start a facebook page with the complaints so that this company may sit up and listen because the only way to make them listen and care is when you pull your money away from them.Also the good comments in between all the back comments are placed there."
1032,"One of the worst airlines I have ever dealt and they only get support because of One of Dubai nothing elseI had experience with the worst checkin, tickets and customer service team. I have checked online and received a message from emirates says please be in the airport before 14:20 I reach 14:15 and the counter say sorry we can't drop your bag as the airplane gate is far a way And we are already done with this flight?????!!!!!! I show him the message and it was useless then he called his manager who asked me to come to her counter and actually that was more useless even:( she give to me one paper with link to the website as says you can complain online we can't do anything !!!!!???? Never recommend it to any oneTo be continued:Second day I want to the airport to catch my new flight and the nice part here ,I am in front of the airplane gate and I received same message you need to pass before 14:20 ?????!!!! I am already passed and on the flight gate.... simply emirates keeps proving that they have the worst system and amateur stuffNever recommend it to any one"
1033,"My wife is supposed to be on flight from Geneva tomorrow and her original flight has been changed without her consent  for a flight which means she has to spend the night at DXB and when she called to complain about the change, Emirates told her it was her negligence which caused the issue. however she has a screenshot of the original booking and it shows which flight she was scheduled on. I believe this is a terrible way to treat your customers after we spend so much money on air fares."
1034,"I tried booking tickets for my mom using emirates.co.in using american express 10% promo - I wasted half a day trying to book a single ticket,I am using a valid american express card - it kept saying card is not valid. I called american express they said it's problem with payment processor of emirates. I tried live chat - it does not work properly in IE and then in google chrome - the person says to come online after 4 hours. I told him here is my mobile number and email id . let me know if the issue is resolved. I tried again after a week- same issue even with a different credit card. I have called emirates customer service spoke with Monica - who initially dropped my call on purpose and after 20 minutes got the same person was not willing to give me the same rate but 80$ more for the same flight.I have spoken to Noman,Jamshed, Jamal and Marie on chat sessions"
1035,"worst ever flightterrible customer service with rude agentscannot choose your own seat, you are assigned a seat!yes people! this is not a democracy! you dont have the right to choose a seat, and if you contact them, they refuse to accept the fact that their website clearly says ""sorry we have technical difficulties"" when you try to choose a seat customer service representative in dallas airport was terribly rude and unapologetic for the clear error on emirates part, he said his name is ""Mohammad Ali"""
1036,"This has been the worst experience ever.  I have taken Emirates in the past and had no issues.  But after my latest experience, I have second thoughts about using this airline. On Friday, July 7, 2017, my husband and I were supposed to board Flight No. EK0202 and depart at 11:00 p.m. Boarding was supposed to start at 10:00 p.m. and nothing was happening until 10:30 p.m. and no announcements were made to notify the passengers who were sitting at the terminal and some of these passengers were with infants and little kids since 8 pm.   Passengers kept going to the gate to find out the status of departure.  Even when the announcements were made, it was hardly audible.  This is the starting point.  Then, we're told the flight is just delayed by 1 hour; the boarding would start at 11 pm; flight will take off at 12 midnight; the lost time would be made up during flying time and passengers will most likely be able to make their transfer fights. Well, the flight didn't take off until 2 am and all passengers were inside the plane for 2 hours and no snacks or drinks were given unless asked.I work in a very reputable health care organization and customer service is number one.  Emirates staff did not exhibit this quality at all. Due to this delay, we didn't make the transfer flight and my husband missed his college reunion after 25 years, which he was planning for the past 4 months. There was NO SERVICE RECOVERY. None of the staff was apologetic about the delay or the situation.  It almost seemed like that Emirates was doing the passengers a favor.  Also, there was no hospitality among some staff.  During the flight, I went up to the crew to get a cup of water.  One of the flight attendant pointed to a tray with 3 glasses (1 glass juice and the remaining 2 glasses were water) sitting in a puddle of juice and said to me ""Take it"".  I asked her, ""Are you sure"" and she responded, ""Yes, it is good water""  I  was repulsed/disgusted by her attitude and I really needed to drink and therefore, I took it and drank it. Towards the end of this flight and close to landing, all flight attendants kept saying there will be clear instructions for the connecting flight.  This was just to avoid all passengers going up to them and asking them serious of questions.Second Trauma: Once the flight landed, passengers were running to the information desk and NO ONE was giving out any clear instructions, NO CLEAR COMMUNICATION about connecting flights.  At the information desk, there were 5 desk stations and 2 of them were solely dedicated to 1st class/Business Class passengers and there were no one in that line. But the staff kept calling anyone from 1st class/business class and that was very annoying.  Instead of helping everyone in the line, the staff was just waiting for 1st class/ business class passengers.  The economy class passengers were treated like herds. NO RESPECT.  Last time I checked I didn't get on this plane for free. More than 200 passengers did not make it to the connecting flight and accommodations were provided and said we take the next flight which was 24 hours later.  We already lost our day.  Also, they advised not to take our luggage and further did not instruct the passengers what to do with the duty free items that were purchased inside the airport and were in sealed bags.  Obviously, frustrated passengers left the airport with the duty free items in their hands.Following day, we go through customs and clearance and obviously, we could not bring our duty free items with us because it was prohibited to have it on the carry on. Even though the items were in sealed bags with the receipts inside the package indicating the flight no, passenger information, we weren't able to bring it in. Then, they point to the items that were prohibited on the plane like we don't know that.  Since this item was purchased inside the airport and kept in sealed bags with all pertinent information regarding the package, we did not think this was an issue. To make a complaint about this situation, we learned that there was NO CUSTOMER SERVICE DESK  at Dubai airport.  Dubai airport is the main hub for Emirates and it was surprising to see no customer service to provide any service recovery.  The Manager at the Emirates service desk at Dubai Airport said to us, ""Make all your complaints online and there is no in person customer service."" Further, he said ""We should have known that there were ways to check in the duty free items before leaving the airport""  Again, there were NO COMMUNICATION given to the passengers who had missed the connecting flights.  24 hours later, we landed at Cochin airport only to find out that none of our luggage (4 pieces) made it to the airport.  So, day 2 is lost without any clothing and after hours of filling out paperwork they handed $100 worth of Indian Rupees to cover for our  clothing (Very generous).   On Tuesday, at 11:30 am our luggage finally arrived and day 3 was lost.  Overall, the entire experience was HORRENDOUS.UNFRIENDLY STAFF, LACK OF COMMUNICATION AND NO RESPECT FOR PASSENGERS AND ABOVE ALL NO CUSTOMER SERVICE."
1037,"My partner and I had the misfortune to fly Emirates Flight EK038 in mid June 2017, from Birmingham to Dubai, with connecting flight EK707 to the Seychelles.Just prior to landing at Dubai International Airport, the aircraft diverted to nearby Al Maktoum airport, apparently due to fog. The pilot said that the aircraft would refuel in about 20 minutes then take off again for Dubai International. However it was 165 minutes later that we actually did take off, and we finally landed at Dubai International three hours late! Consequently we missed our connecting flight to the Seychelles.Emirates representatives at Dubai Airport seemed disorganised, and unprepared to process the hundreds of us who needed rescheduled flights, even though they had had three hours  to prepare, and hence resulted in very long queues for us in order to find out when Emirates could put us on the next flight to our respective destinations. In our case we were queueing for over 160 minutes before being booked on the next flight to the Seychelles (about 2 am the next day) and provided with accommodation in a local hotel.  We were told our suitcases would be sent to the hotel approximately 4 hours later, but that we would need to stay at the hotel until the suitcases arrived so that we could identify them.  However our suitcases never turned up, and we literally spent hours trying to track them down, but not much before the time our flight took off for the Seychelles, so they stayed at the airport with Baggage “services”, some staff of which were arrogant and unhelpful when we went back to the airport to locate our suitcases!  This was not only very inconvenient, it was also frustrating and a significant nuisance as we hadn't been able to leave the hotel or freshen up before returning to the airport to fly to the Seychelles, arriving approximately 18 hours later than we should have, and having paid for a luxury hotel there for the night we were stuck in Dubai!When we complained to Emirates about all of this, including the incompetence of Dubai baggage services,  they were essentially arrogant in their response and offered no compensation of any value!Whilst it could be argued that the fog that had caused the original flight delay was an Act of God, the ensuing problems were caused by Emirates and Dubai Baggage Services! Clearly International travel legislation needs to be strengthened, and more rights given to travellers caught up in such situations, where they are severely inconvenienced and significantly out of pocket, to be able to legally pursue customer unfocused airlines such as Emirates for compensation!Needless to say we will not be flying Emirates in the future, and will do our best to avoid Dubai International airport completely!"
1038,Good Easy to Use and Navigate Website. Information simple to find and can even do UAE Visas on line. However Somtimes has problems Completeing Booking and Payments when being accessed from China. Never had any issues in Hong Kong or U.K. so I believe it is a China Problem.
1039,They let me fly to Vietnam without the proper paperwork. Was deported on arrival.
1040,I tried to have an upgrade to business class but it went wrong spoke to support and that couldn't care about me. Sky Rewards is a joke. I suggest you fly Emirates as a last choice.
1041,The worst service ever! Thieves! Do not use such horrible company!
1042,"I cannot register my miles on this site because my registered name for Skywards Miles is not the same as my passport.....so....they request you change your details by uploading a scan of your passport.Problem.....my scan showed an ""error"" over 1 mb!As it is a Pdf.file it's impossible to compress and anyway unsure it would compress to below 1 mb!Talked to them on the phone and chat,when you finally discover how to..,and there's no contingency process.No email with attachment ,I even offered to send it by mail!Big process issue and probably their inefficiency has cost me many thousands of miles.Unbelievable and they're apparently No.1...!"
1043,"Love flying with this company, their service is second to none."
1044,Customer service 10/10Flights on time: 9/10.DXB airport 10/10.Emirates fleet:10/10Emirates cabin crew service 8/10.Value for money: 7/10. Distinations: 10/10.Emirates into UK airports 10/10.
1045,"Very unhappy with the service. I got a delay for over 4 hours and Emirates is denying the compensation. When I asked for the proofs of the ""justified reasons"" for the delay, customer services just stopped to answer my emails. So disapointing."
1046,"They decline to provide accommodation for a lay over of 23 hours at airport. All the filters and conditions are not very clear in website , When I contacted Customer care , they told your ticket should be minimum XXX $$ , in reply i told I met the condition , Sorry sir this should in USD , Still I didn't get it , I am in Canada & they are in UAE and I paid my ticket in CAD , suddenly where does this USD come in picture ? All the terms and conditions should be clear in website for hassle free travel . Emirates was a classy airline when I first traveled 5 years back , but the service and reputation is declined these days Dont even contact their call center , they are too rude and shut the call without giving a reason Suggestion : Please be clear on terms and conditions in Website , Call Center Guys -- This is a important aspect in customer service , please be nice , atleast pretend to be nice"
1047,I was declined an accommodation with more than 10 hours of stopover in Dubai. The staff and their manager refused even after showing their website reference. Worst airlines I ever traveled.Will never travel again.
1048,Emirates has the worst customer service ever they do not care about their customers only making money!They work along side scam companies
1049,Really quality airline. Sensible pricing at short notice and the 30kg luggage allowance is a great bonus
1050,"Their flights are fine. I'm moving home and need to bags to get all my stuff with me. They wanted to charge me NZD 1700 for 15 ekstra kg!!! Air New Zealand let me add another bag for $35. Now I have to send my luggage through the post office which will be another $400.. I asked if it was not possible to add extra bags and they said ""not for you ticket"". So annoyed and will never use again."
1051,Business class scam!!We upgraded to business for my husbands birthday. Only to get to the lounge and be told your tickets are not eligible. On the day of his birthday ! Emirates ruined my birthday surprise - very disappointed and unhappy. Flew Qatar business last year and the service was A*. I would not recommend Emirates at all. Birthday ruined by sneaky small print !!
1052,"We flew from Copenhagen (Denmark) to Bangkok (Thailand), with a stopover in Dubai. We flew with an Airbus 380 and it had good legroom and wasn't noisy.  Their aircrafts is new and clean and the entertainment system is really good with a lot of opportunities for both children and adults.The cabin crew was so nice and serviceminded."
1053,"I have been using Emirates for over 25 years and have done over 150 trips from UK to Thailand. Over the years the service has just gone from excellent to so poor and Emirates staff treating you like and inconvenience rather than a customer. Well after so many run in's with customers services whom name suggest they are there for customer but they clear ain't I decided that after 9 separate problems on the 2 flight back to the UK I was no longer just accept it and took them to court last week.Well they turned up with a barrister a 100 bundle and loads of test cases, there legal cost must have been £10,000. My bundle was  19 pages  and cost me about £350 in court cost to take them to court. Well of course I lost the money will always win but for the judge to almost apologize because on legal note he had no choice he did say that Emirates had failed very badly on a Customer Service level. Can anyone whom else whom feel let down with Emirates please get in touch as I plan to raise all complaints with there British CEO Sir Tim. In the meantime fly with Qatar as they really seem to want customer and know the values of service. Geoff de Moll"
1054,"Well, flew on Emirates MUC-DXB-MNL and back to DXB-ZRH in Business class in May 2017 on A380 and B777. . Flights were always on time, no delays.Service was excellent on all flights, welcome drinks, hot towels, excellent food and drinks, all brand names like Moet Chandon and Veuve Cliquot etc. Inflight entertainment with hundreds of movies and music to choose from. Flat bed seats, mattresses, pillows, blankets as much as you need. Amenity kits, bathrooms fully equipped. Everything clean and even the bathhrooms were always cleaned and re-stuffed after every pax visit. Not the airlines fault: Avoid Dubai airport. Even medical personnel is extremly slow, transfers are even slower. Sometimes we thought, the next slower walk would only possible backwards...Showers are overcrowded, if possible use in Terminal A, not B, they are much better and cleaner. Don't trust what staff says, if they tell you, you can shower in about 10 mins, don't believe it, stay insistent!Emirates lounge is overcrowded, too, and lacking staff and service. Deckchairs are ALWAYS occupied (some more might be helpful??)Food and drinks are good."
1055,My wife booked a special trip home to see her family with our son. It's his 1st flight. At the time of booking they chose seats that were important for reasons I will not go into here. The were told these seats are theirs.That was October 2016. They have now been told they need to pay a further approximately $400.00 to now confirm these seats. Money which we currently don't have.
1056,"Not what it used to be when we first travelled, customer service is now terrible. They lose luggage get the meals wrong and ignore health & safety issues even when pointed out to them like over head compartment about to drop in mid flight. Flight delays and customer service don't even bother to reply to complaints. Don't think we'll be travelling with these guys anytime soon."
1057,Offloaded 4 passengers by telling us that we need to talk about your daughter sick health.On ground we came to know that we are already beingg off loaded and the document  was handed over to us showed that we got off loded voluntary .I was made to pay for all 4 tickets and took flight after one week with EmiratesComplaint department has nothing to comment on this document which was printed by emirates staff and does not have document that shows we chose to offloaded voluntary .Bunch of liars and a company with no values
1058,"By far the best airline out there today. BA, Virgin, American, etc don't even come close. Emirates has it's act together."
1059,"""Emirates needs to learn to respect it's Economy Class Customers"":The only way to sum up my experience and observations related to Emirates Economy Class: Absolutely pathetic and shockingly bad on every level. Ground Staff and Cabin Crew are rude and arrogant and treat economy class passengers like low class citizens. Worst customer service - in fact don't know how to do their basic job. Violation of human rights and ill treatment of fellow human beings - shocking treatment of customers beyond belief. In this day and age you expect customer service to be the paramount focus and priority but what I have experienced and observed is nothing short of humans in economy class being treated worst than animals. Extremely disappointed to see that while corporates all around the globe are so focused on NPS and customer service, Emirates Economy Class Service quality, food and ground staff and Cabin Crew attitude has deteriorated significantly to the point that it is shamelessly bad.Disappointing to see that no investment is being made on educating the ground staff and the cabin crew on simple basic human etiquettes. Simple rule of successful business in any era is Win the hearts of your customers and you will quadruple your profit margin. Respect ALL your passengers and don't discriminate your passengers based on the class they fly. Disrespect and discrimination is not acceptable in an educated society."
1060,My wife and I recently flew to Mumbai with Emirates. Great customer service all the way. Staff were so helpful when my wife hurt herself on holiday and had to use a wheelchair on the return flights. Well done Emirates and thank you.  We will fly with you again anytime. Frank M
1061,"Depreciation in customer valueI am sad to say after many years and multiple flights with emirates, the status and quality of this airline has consistently declined. Not only customer service, but the planes feel increasingly untidy. It used to be a pleasure, but after my last 3 flights in 2016 (1x 5 hour delay + 1x cancelled flight because of an airplane defect + 1x rudest cabin personal in 20years of flying), i must say that i will try to use other airlines in future."
1062,a horrible airline for people with disabilities booked flatbeds paid extra they changed seats. booked wheelchair which took us to the planeno lift onto plane my disabled wife had to walk up the stairs which on a 380 is a long steep clime it took ages no help i thaugt she was going to have a heart attack. then to ad insult to injury she had to walk to the tail of the plane to get to the seat the upsets to many to mention .in dubai we had to wait on the plane for nearly 2 hours to get off on a lifterno help in dubai from anyone with emirates my poor wife was so upset it spoiled our holiday of a lifetime to africa the saga continued even worse on the way home      thanks emirates  if you are a disabled human please do not fly with emirates we may be getting on but we are not animals
1063,Fabulous food. I flew from Birmingham to Perth WA. The food was lovely. I had ordered vegetarian and was surprised at the thought that had gone into the menu. I would have liked to go on the A380 rather than the B777 but hopefully next time.
1064,"Two passengers paid for the same flight on Emirates Airline and arrived at the check in counter at about the same time.  One was allowed to board and the other was stranded.Which will you be?I booked a flight home from Dar Es Salaam to New York via Dubai on Emirates Airline and arrived at the airport counter from a delayed connection about one hour prior to departure.  Customers to board the same flight arrived at the check in counter around the same time as I did, including seconds before and minutes after I did.  The customer service agents at the counter picked and chose which customers got to board the flight.  They permitted at least one to board, but I and other customers were stranded in Africa.  I have since filed a complaint and was not given a response that explains in total the airline agent's behavior or a refund to compensate for the poor service."
